battery,cycle_index,type,ambient_temperature,time,voltage_mean,voltage_min,voltage_max,voltage_std,current_mean,current_min,current_max,current_std,temperature_mean,temperature_min,temperature_max,temperature_std,duration,voltage_charge_mean,current_charge_mean,voltage_load_mean,current_load_mean,capacity,sense_current_mean,battery_current_mean,current_ratio_mean,battery_impedance_mean,rectified_impedance_mean,Re,Rct
B0005,0,charge,24,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],4.187419504014827,3.479393559379272,4.2099486995035615,0.045764989123261914,0.6434546691871927,-4.030268477538787,1.5143932321982565,0.6254070302865201,25.32407901830568,24.167061880805868,27.445134031590747,1.011309693973562,7597.875,4.359486692015209,0.6384524714828897,,,,,,,,,,
B0005,1,discharge,24,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],3.5298286688693397,2.612467347907089,4.191491807505295,0.2359570706808563,-1.8187019641679727,-2.0180146876333027,0.000728585272845447,0.593546181674474,32.572328114029,24.325993424022467,38.98218133148803,3.4869204762216834,3690.234,,,,,1.8564874208181574,,,,,,,
B0005,2,charge,24,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],4.058826443375249,3.001950570776504,4.213016370444398,0.1773798660372038,0.9490426727251161,-3.361982908688226,1.5151784093535638,0.666259837238909,26.635622628116085,24.528515200437052,29.34194895777482,1.3577712018661738,10516.0,4.430904255319149,0.9417617021276596,,,,,,,,,,
B0005,3,discharge,24,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],3.5373201277859714,2.587208728940726,4.189773213846608,0.23476492928592219,-1.8175598506612867,-2.016820542901454,0.002927403359080335,0.5951796218062511,32.72523522519307,24.685948163596,39.033397966787035,3.4267342264664666,3672.344,,,,,1.846327249719927,,,,,,,
B0005,4,charge,24,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],4.058138828852896,3.0358785775794024,4.212788046609961,0.17528687641434834,0.9505286974657304,-3.384407789097242,1.5168939445650547,0.6669530273269925,26.778175507896698,24.600173786523015,29.553300732538816,1.371118399905783,10484.547,4.402618996798292,0.9431141942369264,,,,,,,,,,
B0005,5,discharge,24,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],3.5437367282719,2.6519168938437794,4.188186735991303,0.22752543549673088,-1.8164865418840956,-2.016573862170142,0.0014836763652280672,0.5964980204475099,32.64286193755933,24.734266163954402,38.818796689817404,3.379475042762775,3651.641,,,,,1.8353491942234077,,,,,,,
B0005,6,charge,24,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],4.058904789088504,3.0661450551857485,4.212924011950438,0.1726065412766279,0.9523115206216739,-3.4122633601213583,1.5175028479320207,0.6662704587130999,26.70320405781683,24.49334629714403,29.456340289732644,1.3750710881487294,10397.89,4.418978563772776,0.9447352625937836,,,,,,,,,,
B0005,7,discharge,24,[2008.       4.       3.       4.      16.      37.375],3.5436661072601456,2.592947964776547,4.188461118855572,0.23274431724182537,-1.8255891938692528,-2.0159359571668354,0.001547011952723541,0.5834624841611844,32.51487646204882,24.652243741292516,38.7623045063458,3.3865437316993527,3631.563,,,,,1.8352625275821128,,,,,,,
B0005,8,charge,24,[2008.       4.       3.       5.      27.      49.125],4.058329981003973,3.0637656606174013,4.2128738833616,0.17353550330211395,0.9477284862498987,-3.403625146732859,1.5169487474809897,0.6684150117614278,26.617004288392003,24.42016992589388,29.4813335075363,1.3863920147737276,10495.203,4.364055496264675,0.9403607257203841,,,,,,,,,,
B0005,9,discharge,24,[2008.       4.       3.       8.      33.      25.703],3.5423432526672167,2.547419651124539,4.188298524761055,0.2366885716567803,-1.8261139590277586,-2.017425579158831,0.001701454824503414,0.5834685498827803,32.38234901543077,24.518700434435164,38.66539257343368,3.3958806914600226,3629.172,,,,,1.8346455082120419,,,,,,,
